90,5,22,3,3,2,1
165,55,39,3,22,2,1
17,33,10,5,22,3,2
194,3,20,3,20,3,1
280,31,20,2,42,2,1
81,27,36,4,24,1,1
71,41,39,2,39,2,2
70,11,8,5,6,2,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
90,5,22,3,3,2,1
165,55,39,3,22,2,1
183,5,49,1,3,2,1
90,5,39,3,22,2,2
280,31,20,2,42,2,1
81,27,36,4,24,1,1
15,52,20,2,23,2,1
280,4,36,4,25,2,2
103,24,11,4,48,2,1
231,26,9,3,33,1,1
77,35,8,2,50,3,2
75,56,48,1,15,1,1
272,41,36,5,30,2,2
154,38,27,5,29,2,1
285,51,50,3,7,3,1
288,36,5,5,49,3,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
231,26,9,3,33,1,1
77,35,8,2,50,3,2
146,35,8,2,50,1,2
231,26,46,3,33,1,1
272,41,36,5,30,2,2
154,38,27,5,29,2,1
125,41,16,5,29,2,2
104,38,27,3,29,1,2
153,45,9,1,17,2,2
133,39,49,2,19,1,2
199,3,27,4,17,2,2
247,47,8,5,43,1,1
10,59,47,3,25,3,2
151,37,4,4,13,3,2
243,17,36,1,10,3,1
283,9,41,4,12,2,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
153,45,9,1,17,2,2
133,39,49,2,19,1,2
194,35,49,4,19,3,2
133,39,29,1,4,2,2
10,59,47,3,25,3,2
151,37,4,4,13,3,2
151,59,4,3,13,1,1
151,59,47,3,25,2,2
133,39,49,2,19,1,2
153,45,9,1,17,2,2
133,45,49,5,19,3,2
13,56,9,3,49,1,2
151,59,47,3,25,2,2
10,59,47,3,25,3,2
151,59,32,2,25,2,2
277,30,47,5,25,3,2
133,39,49,2,19,1,2
153,45,9,1,17,2,2
105,11,40,1,17,2,1
228,45,26,1,35,1,1
151,59,47,3,25,2,2
10,59,47,3,25,3,2
21,42,47,3,25,1,1
53,38,41,3,25,2,2
133,39,49,2,19,1,2
153,45,9,1,17,2,2
115,10,9,1,19,2,2
153,39,50,2,17,1,1
151,59,47,3,25,2,2
10,59,47,3,25,3,2
151,59,29,3,25,1,2
103,59,47,3,25,3,2
209,14,29,5,13,2,1
93,10,40,5,2,2,1
63,5,19,1,14,3,1
15,56,37,5,37,2,2
83,8,18,3,38,3,1
166,33,14,1,18,3,2
135,35,9,4,12,3,1
54,56,15,1,48,3,1
speed,size,angle,burst,burst_angle,bounces,reproduce,color
63,5,19,1,14,3,1
15,56,37,5,37,2,2
69,5,37,5,42,3,2
15,5,37,5,46,3,2
83,8,18,3,38,3,1
166,33,14,1,18,3,2
8,46,14,1,18,2,2
290,40,3,1,26,3,2
15,56,37,5,37,2,2
63,5,19,1,14,3,1
63,56,1,5,14,3,1
63,12,34,4,37,2,1
83,8,18,3,38,3,1
166,33,14,1,18,3,2
135,8,26,1,18,3,1
83,47,14,3,18,1,2
55,42,15,1,49,3,1
147,45,2,4,9,3,1
65,5,30,1,46,1,2
101,24,13,3,17,1,2
122,38,13,5,31,2,2
246,33,7,4,28,3,2
279,27,10,3,10,2,1
158,14,16,3,31,1,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
55,42,15,1,49,3,1
147,45,2,4,9,3,1
54,45,2,1,24,3,1
52,17,15,4,9,3,1
122,38,13,5,31,2,2
246,33,7,4,28,3,2
86,38,7,4,28,3,2
122,38,7,5,28,2,2
55,42,15,1,49,3,1
147,45,2,4,9,3,1
81,45,27,1,9,3,1
147,42,41,4,9,3,1
86,38,7,4,28,3,2
122,38,7,5,28,2,2
122,11,7,4,28,2,2
86,38,7,4,49,3,2
78,24,22,1,28,1,1
124,59,12,5,16,3,2
298,35,31,2,21,3,2
48,41,46,3,2,1,1
12,34,46,1,4,3,2
21,27,8,3,36,1,2
293,25,50,5,39,3,1
150,51,30,5,37,2,2
speed,size,angle,burst,burst_angle,bounces,reproduce,color
78,24,22,1,28,1,1
124,59,12,5,16,3,2
41,24,22,1,16,3,1
78,25,43,1,16,3,1
12,34,46,1,4,3,2
21,27,8,3,36,1,2
156,54,26,3,36,3,2
287,48,33,5,4,1,2
